wsid,mdct,stp,smax,smin
178,06/11/2007 0:00,982.5,982.5,981.3
178,06/11/2007 1:00,983.2,983.2,982.5
178,06/11/2007 2:00,983.5,983.5,983.2
178,06/11/2007 3:00,983.7,983.7,983.4
178,06/11/2007 4:00,983.7,983.8,983.6
178,06/11/2007 5:00,983.7,983.8,983.6
178,06/11/2007 6:00,983.7,983.7,983.6
178,06/11/2007 7:00,984.6,984.6,983.7
178,06/11/2007 8:00,985.7,985.7,984.6
178,06/11/2007 9:00,986.7,986.7,985.7
178,06/11/2007 10:00,987.2,987.2,986.7
178,06/11/2007 11:00,0,0,0
178,06/11/2007 12:00,0,0,0
178,06/11/2007 13:00,0,0,0
178,06/11/2007 14:00,986,987,986
178,06/11/2007 15:00,984.8,986.1,984.8
178,06/11/2007 16:00,983.4,984.8,983.4
178,06/11/2007 17:00,982.5,983.4,982.5
178,06/11/2007 18:00,981.7,982.5,981.7
178,06/11/2007 19:00,981.3,981.7,981.3
178,06/11/2007 20:00,981.6,981.6,981.3
178,06/11/2007 21:00,982.1,982.1,981.6
178,06/11/2007 22:00,982.7,982.7,982
178,06/11/2007 23:00,983.9,983.9,982.7
178,07/11/2007 0:00,984.7,984.7,983.9
178,07/11/2007 1:00,985.3,985.3,984.7
178,07/11/2007 2:00,985.4,985.5,985.3
178,07/11/2007 3:00,985.3,985.4,985.3
178,07/11/2007 4:00,985.8,985.8,985.3
178,07/11/2007 5:00,985.9,985.9,985.6
178,07/11/2007 6:00,986,986.1,985.9
178,07/11/2007 7:00,986.4,986.4,986
178,07/11/2007 8:00,986.8,986.8,986.4
178,07/11/2007 9:00,987,987,986.8
178,07/11/2007 10:00,987.3,987.3,987
178,07/11/2007 11:00,987.3,987.5,987.3
178,07/11/2007 12:00,987,987.3,986.9
178,07/11/2007 13:00,986.3,987,986.2
178,07/11/2007 14:00,985.5,986.3,985.5
178,07/11/2007 15:00,984.1,985.5,984.1
178,07/11/2007 16:00,982.6,984.1,982.6
178,07/11/2007 17:00,981.4,982.6,981.4
178,07/11/2007 18:00,980.6,981.4,980.6
178,07/11/2007 19:00,980.3,980.6,980.3
178,07/11/2007 20:00,980.5,980.5,980.3
178,07/11/2007 21:00,981,981.1,980.5
178,07/11/2007 22:00,981.6,981.6,981
178,07/11/2007 23:00,982.4,982.4,981.6
178,08/11/2007 0:00,983.4,983.4,982.4
178,08/11/2007 1:00,984.5,984.5,983.4
178,08/11/2007 2:00,984.7,984.8,984.4
178,08/11/2007 3:00,984.4,984.7,984.4
178,08/11/2007 4:00,984,984.4,984
178,08/11/2007 5:00,983.6,984,983.6
178,08/11/2007 6:00,983.4,983.7,983.4
178,08/11/2007 7:00,983.6,983.7,983.4
178,08/11/2007 8:00,984,984,983.5
