wsid,mdct,prcp,hmdy,hmax,hmin
178,06/11/2007 0:00,,35,58,32
178,06/11/2007 1:00,,39,39,35
178,06/11/2007 2:00,,44,44,39
178,06/11/2007 3:00,,58,58,44
178,06/11/2007 4:00,,57,58,56
178,06/11/2007 5:00,,62,62,57
178,06/11/2007 6:00,,72,72,62
178,06/11/2007 7:00,,86,89,72
178,06/11/2007 8:00,,93,94,85
178,06/11/2007 9:00,,75,94,75
178,06/11/2007 10:00,,61,76,61
178,06/11/2007 11:00,0,0,0,0
178,06/11/2007 12:00,0,0,0,0
178,06/11/2007 13:00,0,0,0,0
178,06/11/2007 14:00,,36,42,36
178,06/11/2007 15:00,,32,37,31
178,06/11/2007 16:00,,31,34,29
178,06/11/2007 17:00,,29,31,27
178,06/11/2007 18:00,,27,29,26
178,06/11/2007 19:00,,28,30,26
178,06/11/2007 20:00,,30,33,28
178,06/11/2007 21:00,,40,42,30
178,06/11/2007 22:00,,29,42,29
178,06/11/2007 23:00,,35,35,29
178,07/11/2007 0:00,,40,40,35
178,07/11/2007 1:00,,37,41,36
178,07/11/2007 2:00,,42,42,37
178,07/11/2007 3:00,,51,51,42
178,07/11/2007 4:00,,58,58,51
178,07/11/2007 5:00,,59,59,58
178,07/11/2007 6:00,,71,71,59
178,07/11/2007 7:00,,69,71,65
178,07/11/2007 8:00,,83,91,69
178,07/11/2007 9:00,,68,90,68
178,07/11/2007 10:00,,56,67,55
178,07/11/2007 11:00,,49,56,48
178,07/11/2007 12:00,,43,50,42
178,07/11/2007 13:00,,38,44,37
178,07/11/2007 14:00,,33,40,33
178,07/11/2007 15:00,,30,34,29
178,07/11/2007 16:00,,28,31,27
178,07/11/2007 17:00,,26,29,25
178,07/11/2007 18:00,,25,28,24
178,07/11/2007 19:00,,28,29,25
178,07/11/2007 20:00,,32,32,27
178,07/11/2007 21:00,,35,35,31
178,07/11/2007 22:00,,48,50,35
178,07/11/2007 23:00,,35,48,35
178,08/11/2007 0:00,,36,36,33
178,08/11/2007 1:00,,43,43,36
178,08/11/2007 2:00,,52,52,43
178,08/11/2007 3:00,,58,58,52
178,08/11/2007 4:00,,67,67,58
178,08/11/2007 5:00,,80,80,67
178,08/11/2007 6:00,,62,80,61
178,08/11/2007 7:00,,65,65,62
178,08/11/2007 8:00,,67,67,65
178,08/11/2007 9:00,,66,69,66
178,08/11/2007 10:00,,61,67,59
178,08/11/2007 11:00,,59,61,57
178,08/11/2007 12:00,,51,59,50
178,08/11/2007 13:00,,45,53,44
178,08/11/2007 14:00,,39,46,37
178,08/11/2007 15:00,,31,39,30
178,08/11/2007 16:00,,29,32,27
178,08/11/2007 17:00,,25,30,24
178,08/11/2007 18:00,,25,26,23
