wsid,mdct,temp,dewp,tmax,dmax,tmin,dmin
178,06/11/2007 0:00,29.3,12.1,29.7,16.8,25.5,10.8
178,06/11/2007 1:00,29,13.5,29.9,13.6,29,12.2
178,06/11/2007 2:00,27.4,14,29,14,27.4,13.6
178,06/11/2007 3:00,25.8,16.9,27.4,16.9,25.8,14.1
178,06/11/2007 4:00,25.4,16.4,26.3,17,25.3,16.4
178,06/11/2007 5:00,23.8,16.2,25.4,16.4,23.8,16
178,06/11/2007 6:00,22,16.7,23.8,16.7,22,16.2
178,06/11/2007 7:00,19.7,17.4,22,17.8,19.5,16.6
178,06/11/2007 8:00,18.3,17.3,19.7,17.3,18.3,16.9
178,06/11/2007 9:00,22.9,18.3,22.9,18.3,18.2,17.1
178,06/11/2007 10:00,25,17.1,25.1,18.4,22.9,17
178,06/11/2007 11:00,0,0,0,0,0,0
178,06/11/2007 12:00,0,0,0,0,0,0
178,06/11/2007 13:00,0,0,0,0,0,0
178,06/11/2007 14:00,31,14.3,31.8,16,30,14.3
178,06/11/2007 15:00,32.7,14,33,15.4,31,13.6
178,06/11/2007 16:00,33.7,14,34,15.6,32.5,12.9
178,06/11/2007 17:00,34.7,14,34.7,14.6,33.4,12.2
178,06/11/2007 18:00,34.3,12.9,35.2,14.2,33.9,12.6
178,06/11/2007 19:00,34.7,13.7,35.1,14.5,33.7,12.6
178,06/11/2007 20:00,32.6,12.8,34.7,14.5,32.2,12.8
178,06/11/2007 21:00,29.9,14.9,32.7,15.8,29.9,12.5
178,06/11/2007 22:00,31.5,11.4,31.7,15.4,29.4,11.3
178,06/11/2007 23:00,30.3,13.3,31.5,13.3,29.8,11.4
178,07/11/2007 0:00,30.2,15,31,15.1,30.2,13.4
178,07/11/2007 1:00,29.3,13.1,30.3,15.1,29.3,13.1
178,07/11/2007 2:00,28.1,14,29.3,14,28.1,13.1
178,07/11/2007 3:00,26.6,15.5,28.1,15.5,26.5,14
178,07/11/2007 4:00,25.1,16.4,26.6,16.4,25.1,15.5
178,07/11/2007 5:00,23.7,15.3,25.2,16.4,23.7,15.3
178,07/11/2007 6:00,21.5,15.9,23.7,15.9,21.5,15.2
178,07/11/2007 7:00,21.2,15.3,22.2,16,21.2,15.1
178,07/11/2007 8:00,19.2,16.3,21.2,17.4,18.9,15.2
178,07/11/2007 9:00,22.9,16.6,22.9,17.4,18.7,16.2
178,07/11/2007 10:00,25.7,16.3,25.8,17,22.9,15.8
178,07/11/2007 11:00,27.7,16,27.7,16.4,25.7,15.5
178,07/11/2007 12:00,29.5,15.7,29.7,16,27.6,15
