wsid,mdct,wdsp,wdct,gust
178,06/11/2007 0:00,3.2,101,6.5
178,06/11/2007 1:00,3.6,94,6.4
178,06/11/2007 2:00,2.5,93,6.9
178,06/11/2007 3:00,1.7,96,5.8
178,06/11/2007 4:00,3.1,110,7.5
178,06/11/2007 5:00,2,99,6.8
178,06/11/2007 6:00,1.3,93,4.9
178,06/11/2007 7:00,0.5,157,2.8
178,06/11/2007 8:00,,141,1.5
178,06/11/2007 9:00,,248,
178,06/11/2007 10:00,3.3,97,6.2
178,06/11/2007 11:00,0,0,0
178,06/11/2007 12:00,0,0,0
178,06/11/2007 13:00,0,0,0
178,06/11/2007 14:00,3.2,97,9.1
178,06/11/2007 15:00,3.8,103,8.6
178,06/11/2007 16:00,3.7,78,9.6
178,06/11/2007 17:00,2.8,102,9
178,06/11/2007 18:00,2.5,94,9
178,06/11/2007 19:00,2.9,93,8.5
178,06/11/2007 20:00,2.7,106,5.8
178,06/11/2007 21:00,1.5,102,5.2
178,06/11/2007 22:00,2.4,123,4.9
178,06/11/2007 23:00,3.4,112,7.8
178,07/11/2007 0:00,4.2,109,8.6
178,07/11/2007 1:00,5.4,109,11.5
178,07/11/2007 2:00,6.1,120,11.6
178,07/11/2007 3:00,5,114,11.6
178,07/11/2007 4:00,3.1,100,9.8
178,07/11/2007 5:00,1.9,111,7.2
178,07/11/2007 6:00,1.6,110,3.3
178,07/11/2007 7:00,0.7,109,4.5
178,07/11/2007 8:00,1.3,129,2.3
178,07/11/2007 9:00,,85,2.4
178,07/11/2007 10:00,2.8,140,8.2
178,07/11/2007 11:00,3.6,127,7.3
178,07/11/2007 12:00,2.9,110,7.6
178,07/11/2007 13:00,3.6,108,8.2
178,07/11/2007 14:00,3.8,119,8.3
178,07/11/2007 15:00,3.3,134,8.2
178,07/11/2007 16:00,2.7,79,7.2
178,07/11/2007 17:00,1.2,66,7.4
178,07/11/2007 18:00,2.1,65,6.8
178,07/11/2007 19:00,2,89,5.4
178,07/11/2007 20:00,1.8,92,5.6
178,07/11/2007 21:00,1.5,100,4.6
178,07/11/2007 22:00,1.6,111,2.5
178,07/11/2007 23:00,3.7,106,7.2
178,08/11/2007 0:00,4.6,104,8.9
178,08/11/2007 1:00,5.8,119,10.9
178,08/11/2007 2:00,4.7,108,10.4
178,08/11/2007 3:00,3.1,104,8.8
178,08/11/2007 4:00,1.3,80,5.5
178,08/11/2007 5:00,1.3,108,2
178,08/11/2007 6:00,3,127,5.6
178,08/11/2007 7:00,2.6,128,6.8
178,08/11/2007 8:00,2.5,130,6.4
178,08/11/2007 9:00,2,146,4.4
178,08/11/2007 10:00,3.9,134,7.7
178,08/11/2007 11:00,3.9,140,9.7
178,08/11/2007 12:00,4,119,9.5
178,08/11/2007 13:00,4.2,109,8.2
178,08/11/2007 14:00,3.1,147,8.8
178,08/11/2007 15:00,3,102,8.3
178,08/11/2007 16:00,2.1,143,8.6
178,08/11/2007 17:00,3,119,7.7
178,08/11/2007 18:00,2.3,106,7.7
178,08/11/2007 19:00,2,88,7.7
178,08/11/2007 20:00,1.9,79,5.5
178,08/11/2007 21:00,1.2,99,4.6
178,08/11/2007 22:00,1.8,104,2.7
178,08/11/2007 23:00,1.4,97,2.5
178,09/11/2007 0:00,3.4,108,10.2
178,09/11/2007 1:00,5.4,114,11.9
178,09/11/2007 2:00,3.4,102,9.6
178,09/11/2007 3:00,2.3,92,6
178,09/11/2007 4:00,2.4,97,6.9
178,09/11/2007 5:00,2.6,99,5.2
178,09/11/2007 6:00,2.9,106,5.9
178,09/11/2007 7:00,2.3,101,6.4
178,09/11/2007 8:00,1.5,106,3.7
178,09/11/2007 9:00,0.3,99,2.4
178,09/11/2007 10:00,2.3,112,4.1
178,09/11/2007 11:00,3.9,115,7.1
178,09/11/2007 12:00,4.2,112,8.8
178,09/11/2007 13:00,3.9,137,8.7
178,09/11/2007 14:00,3.3,123,8.3
178,09/11/2007 15:00,3.9,110,7.6
178,09/11/2007 16:00,3.4,127,10.6
178,09/11/2007 17:00,2.5,99,8.6
178,09/11/2007 18:00,2.5,112,8.4
178,09/11/2007 19:00,3.1,105,6.8
178,09/11/2007 20:00,2.3,116,6.8
178,09/11/2007 21:00,0.2,156,5
178,09/11/2007 22:00,1.5,124,2.9
178,09/11/2007 23:00,1.3,139,3
178,10/11/2007 0:00,2,129,2.4
178,10/11/2007 1:00,3.6,119,7.5
178,10/11/2007 2:00,4.3,99,7.5
178,10/11/2007 3:00,1.4,91,7.5
303,31/10/2006 0:00,0,0,0
303,31/10/2006 1:00,0,0,0
303,31/10/2006 2:00,0,0,0
303,31/10/2006 3:00,0,0,0
303,31/10/2006 4:00,0,0,0
303,31/10/2006 5:00,0,0,0
303,31/10/2006 6:00,0,0,0
303,31/10/2006 7:00,0,0,0
303,31/10/2006 8:00,0,0,0
303,31/10/2006 9:00,0,0,0
303,31/10/2006 10:00,0,0,0
303,31/10/2006 11:00,0,0,0
303,31/10/2006 12:00,0,0,0
303,31/10/2006 13:00,0,0,0
303,31/10/2006 14:00,0,0,0
303,31/10/2006 15:00,0,0,0
303,31/10/2006 16:00,4.3,28,10.3
303,31/10/2006 17:00,5.9,25,12.1
303,31/10/2006 18:00,4.6,37,12.1
303,31/10/2006 19:00,5.6,28,11.5
303,31/10/2006 20:00,4.5,14,10.9
303,31/10/2006 21:00,4.5,26,8.8
303,31/10/2006 22:00,3.8,29,8.8
303,31/10/2006 23:00,2.8,26,7.6
303,01/11/2006 0:00,2.1,3,6.7
303,01/11/2006 1:00,3.3,11,8
303,01/11/2006 2:00,2.7,360,8
303,01/11/2006 3:00,2.8,5,6.8
303,01/11/2006 4:00,3,344,8.2
303,01/11/2006 5:00,2.4,1,8.2
303,01/11/2006 6:00,3.4,11,7.7
303,01/11/2006 7:00,1.9,357,6.3
303,01/11/2006 8:00,2.3,12,6.4
303,01/11/2006 9:00,2.8,14,5.9
303,01/11/2006 10:00,3,8,7.4
303,01/11/2006 11:00,3.2,13,7.9
303,01/11/2006 12:00,3.5,4,7.4
303,01/11/2006 13:00,3.6,24,8.3
303,01/11/2006 14:00,4,39,9.8
303,01/11/2006 15:00,4.1,46,10.3
303,01/11/2006 16:00,5.7,44,12.8
303,01/11/2006 17:00,5.8,45,12.5
303,01/11/2006 18:00,4.5,32,11.8
303,01/11/2006 19:00,5.1,48,13.5
303,01/11/2006 20:00,3.8,44,11.3
303,01/11/2006 21:00,4.3,29,11.2
303,01/11/2006 22:00,3.6,37,9.3
303,01/11/2006 23:00,3.5,35,9.1
303,02/11/2006 0:00,2.8,13,8.2
303,02/11/2006 1:00,4.5,13,8.4
303,02/11/2006 2:00,2.4,2,8.4
303,02/11/2006 3:00,2.2,10,5.8
303,02/11/2006 4:00,2.1,359,6.7
303,02/11/2006 5:00,2.8,13,5.5
303,02/11/2006 6:00,2.9,18,7
303,02/11/2006 7:00,1.2,348,5.7
303,02/11/2006 8:00,3.4,19,6.2
303,02/11/2006 9:00,2.6,13,6.2
303,02/11/2006 10:00,1.3,338,6.7
303,02/11/2006 11:00,2.3,356,6
303,02/11/2006 12:00,3.2,329,7.8
303,02/11/2006 13:00,4.4,5,8.7
303,02/11/2006 14:00,4.9,16,9.3
303,02/11/2006 15:00,3.5,34,9.3
303,02/11/2006 16:00,4.3,34,9.5
