wsid,wsnm,inme,mdct
178,SÃO GONÇALO,A333,06/11/2007 0:00
178,SÃO GONÇALO,A333,06/11/2007 1:00
178,SÃO GONÇALO,A333,06/11/2007 2:00
178,SÃO GONÇALO,A333,06/11/2007 3:00
178,SÃO GONÇALO,A333,06/11/2007 4:00
178,SÃO GONÇALO,A333,06/11/2007 5:00
178,SÃO GONÇALO,A333,06/11/2007 6:00
178,SÃO GONÇALO,A333,06/11/2007 7:00
178,SÃO GONÇALO,A333,06/11/2007 8:00
178,SÃO GONÇALO,A333,06/11/2007 9:00
178,SÃO GONÇALO,A333,06/11/2007 10:00
178,SÃO GONÇALO,A333,06/11/2007 11:00
178,SÃO GONÇALO,A333,06/11/2007 12:00
178,SÃO GONÇALO,A333,06/11/2007 13:00
178,SÃO GONÇALO,A333,06/11/2007 14:00
178,SÃO GONÇALO,A333,06/11/2007 15:00
178,SÃO GONÇALO,A333,06/11/2007 16:00
178,SÃO GONÇALO,A333,06/11/2007 17:00
178,SÃO GONÇALO,A333,06/11/2007 18:00
178,SÃO GONÇALO,A333,06/11/2007 19:00
178,SÃO GONÇALO,A333,06/11/2007 20:00
178,SÃO GONÇALO,A333,06/11/2007 21:00
178,SÃO GONÇALO,A333,06/11/2007 22:00
178,SÃO GONÇALO,A333,06/11/2007 23:00
178,SÃO GONÇALO,A333,07/11/2007 0:00
178,SÃO GONÇALO,A333,07/11/2007 1:00
178,SÃO GONÇALO,A333,07/11/2007 2:00
178,SÃO GONÇALO,A333,07/11/2007 3:00
178,SÃO GONÇALO,A333,07/11/2007 4:00
178,SÃO GONÇALO,A333,07/11/2007 5:00
178,SÃO GONÇALO,A333,07/11/2007 6:00
178,SÃO GONÇALO,A333,07/11/2007 7:00
178,SÃO GONÇALO,A333,07/11/2007 8:00
178,SÃO GONÇALO,A333,07/11/2007 9:00
178,SÃO GONÇALO,A333,07/11/2007 10:00
178,SÃO GONÇALO,A333,07/11/2007 11:00
178,SÃO GONÇALO,A333,07/11/2007 12:00
178,SÃO GONÇALO,A333,07/11/2007 13:00
178,SÃO GONÇALO,A333,07/11/2007 14:00
178,SÃO GONÇALO,A333,07/11/2007 15:00
178,SÃO GONÇALO,A333,07/11/2007 16:00
178,SÃO GONÇALO,A333,07/11/2007 17:00
178,SÃO GONÇALO,A333,07/11/2007 18:00
178,SÃO GONÇALO,A333,07/11/2007 19:00
178,SÃO GONÇALO,A333,07/11/2007 20:00
178,SÃO GONÇALO,A333,07/11/2007 21:00
178,SÃO GONÇALO,A333,07/11/2007 22:00
178,SÃO GONÇALO,A333,07/11/2007 23:00
178,SÃO GONÇALO,A333,08/11/2007 0:00
178,SÃO GONÇALO,A333,08/11/2007 1:00
178,SÃO GONÇALO,A333,08/11/2007 2:00
178,SÃO GONÇALO,A333,08/11/2007 3:00
178,SÃO GONÇALO,A333,08/11/2007 4:00
178,SÃO GONÇALO,A333,08/11/2007 5:00
178,SÃO GONÇALO,A333,08/11/2007 6:00
178,SÃO GONÇALO,A333,08/11/2007 7:00
178,SÃO GONÇALO,A333,08/11/2007 8:00
178,SÃO GONÇALO,A333,08/11/2007 9:00
178,SÃO GONÇALO,A333,08/11/2007 10:00
178,SÃO GONÇALO,A333,08/11/2007 11:00
178,SÃO GONÇALO,A333,08/11/2007 12:00
178,SÃO GONÇALO,A333,08/11/2007 13:00
178,SÃO GONÇALO,A333,08/11/2007 14:00
178,SÃO GONÇALO,A333,08/11/2007 15:00
178,SÃO GONÇALO,A333,08/11/2007 16:00
178,SÃO GONÇALO,A333,08/11/2007 17:00
178,SÃO GONÇALO,A333,08/11/2007 18:00
178,SÃO GONÇALO,A333,08/11/2007 19:00
178,SÃO GONÇALO,A333,08/11/2007 20:00
178,SÃO GONÇALO,A333,08/11/2007 21:00
178,SÃO GONÇALO,A333,08/11/2007 22:00
178,SÃO GONÇALO,A333,08/11/2007 23:00
178,SÃO GONÇALO,A333,09/11/2007 0:00
178,SÃO GONÇALO,A333,09/11/2007 1:00
178,SÃO GONÇALO,A333,09/11/2007 2:00
178,SÃO GONÇALO,A333,09/11/2007 3:00
178,SÃO GONÇALO,A333,09/11/2007 4:00
